household_weight,people_in_household,adults_in_household,children_in_household,baseline_household_net_income_bhc,baseline_equiv_household_net_income_bhc,baseline_household_net_income_ahc,baseline_equiv_household_net_income_ahc,baseline_in_poverty_bhc,baseline_in_poverty_ahc,reform_1_household_net_income_bhc,reform_1_equiv_household_net_income_bhc,reform_1_household_net_income_ahc,reform_1_equiv_household_net_income_ahc,reform_1_in_poverty_bhc,reform_1_in_poverty_ahc,reform_2_household_net_income_bhc,reform_2_equiv_household_net_income_bhc,reform_2_household_net_income_ahc,reform_2_equiv_household_net_income_ahc,reform_2_in_poverty_bhc,reform_2_in_poverty_ahc,reform_3_household_net_income_bhc,reform_3_equiv_household_net_income_bhc,reform_3_household_net_income_ahc,reform_3_equiv_household_net_income_ahc,reform_3_in_poverty_bhc,reform_3_in_poverty_ahc,reform_4_household_net_income_bhc,reform_4_equiv_household_net_income_bhc,reform_4_household_net_income_ahc,reform_4_equiv_household_net_income_ahc,reform_4_in_poverty_bhc,reform_4_in_poverty_ahc
3595.0,2,2,0,577.8344,577.8344,421.8344,421.8344,0,0,627.7975,627.7975,471.7975,471.7975,0,0,490.29752,490.29752,334.29752,334.29752,0,0,611.2975,611.2975,455.29752,455.29752,0,0,695.2975,695.2975,539.2975,539.2975,0,0
268.0,2,2,0,278.95,278.95,278.95,278.95,0,0,367.84,367.84,367.84,367.84,0,0,413.34,413.34,413.34,413.34,0,0,499.34,499.34,499.34,499.34,0,0,583.33997,583.33997,583.33997,583.33997,0,0
1563.0,3,2,1,875.72284,729.769,643.72284,536.43567,0,0,887.64905,739.7075,655.64905,546.3742,0,0,761.34906,634.4575,529.34906,441.1242,0,0,890.34906,741.9575,658.34906,548.6242,0,0,847.39905,706.16583,615.39905,512.8325,0,0
1067.0,4,2,2,747.8539,450.5144,737.8539,444.4903,0,0,891.78,537.2169,881.78,531.1928,0,0,922.53,555.74097,912.53,549.7169,0,0,954.53,575.0181,944.53,568.994,0,0,777.53,468.3916,767.53,462.3675,0,0
1435.0,2,2,0,387.83826,387.83826,280.83826,280.83826,0,0,390.15823,390.15823,283.15823,283.15823,0,0,623.2408,623.2408,516.2408,516.2408,0,0,339.24075,339.24075,232.24077,232.24077,0,1,213.84578,213.84578,106.84578,106.84578,1,1
2365.0,1,1,0,689.5169,1029.1296,667.5169,996.2939,0,0,684.48,1021.6119,662.48,988.77606,0,0,507.98007,758.1792,485.98007,725.3434,0,0,550.98004,822.3583,528.98004,789.5224,0,0,592.98004,885.0448,570.98004,852.209,0,0
743.0,4,3,1,988.06384,988.06384,988.06384,988.06384,0,0,1069.99,1069.99,1069.99,1069.99,0,0,961.18994,961.18994,961.18994,961.18994,0,0,1098.19,1098.19,1098.19,1098.19,0,0,1097.24,1097.24,1097.24,1097.24,0,0
2249.0,2,2,0,876.1338,876.1338,869.1338,869.1338,0,0,857.78,857.78,850.78,850.78,0,0,672.53,672.53,665.53,665.53,0,0,758.53,758.53,751.53,751.53,0,0,842.53,842.53,835.53,835.53,0,0
1252.0,1,1,0,276.0,411.94028,194.0,289.55225,0,0,341.0,508.9552,259.0,386.56717,0,0,441.0,658.2089,359.0,535.82086,0,0,424.0,632.8358,342.0,510.44775,0,0,466.0,695.5224,384.0,573.13434,0,0
1382.0,2,2,0,821.0269,821.0269,805.0269,805.0269,0,0,799.18005,799.18005,783.18005,783.18005,0,0,1006.54,1006.54,990.54,990.54,0,0,722.54004,722.54004,706.54004,706.54004,0,0,577.68005,577.68005,561.68005,561.68005,0,0
1645.0,2,2,0,1252.4038,1252.4038,1240.4038,1240.4038,0,0,1134.8401,1134.8401,1122.8401,1122.8401,0,0,1167.825,1167.825,1155.825,1155.825,0,0,883.82495,883.82495,871.82495,871.82495,0,0,781.9025,781.9025,769.9025,769.9025,0,0
2383.0,2,2,0,269.0,269.0,261.0,261.0,0,0,354.0,354.0,346.0,346.0,0,0,599.0,599.0,591.0,591.0,0,0,440.0,440.0,432.0,432.0,0,0,405.5625,405.5625,397.5625,397.5625,0,0
1898.0,2,2,0,1955.1538,1955.1538,1842.1538,1842.1538,0,0,1764.4199,1764.4199,1651.4199,1651.4199,0,0,1632.9451,1632.9451,1519.9451,1519.9451,0,0,1348.9451,1348.9451,1235.9451,1235.9451,0,0,1259.045,1259.045,1146.045,1146.045,0,0
1634.0,5,1,4,68.27309,46.444275,-52.726913,-35.86865,1,1,221.27309,150.52591,100.27309,68.21298,1,1,557.5125,379.2602,436.5125,296.9473,0,0,517.2,351.83673,396.2,269.5238,0,0,258.27307,175.69597,137.27307,93.38304,1,1
766.0,1,1,0,347.9,519.2537,265.9,396.86566,0,0,337.66,503.97015,255.66,381.5821,0,0,386.9,577.46265,304.9,455.07462,0,0,244.9,365.52237,162.9,243.13431,0,1,240.5975,359.10074,158.5975,236.71269,0,1
684.0,1,1,0,365.32693,545.26404,314.32693,469.14465,0,0,430.32693,642.279,379.32693,566.1596,0,0,470.32693,701.98047,419.32693,625.8611,0,0,513.3269,766.15955,462.32693,690.04016,0,0,555.3269,828.8461,504.32693,752.72675,0,0
1286.0,3,2,1,629.9669,524.9724,563.9669,469.9724,0,0,711.93,593.27496,645.93,538.27496,0,0,759.88,633.23334,693.88,578.23334,0,0,828.88,690.73334,762.88,635.73334,0,0,785.93005,654.9417,719.93005,599.9417,0,0
1246.0,2,1,1,316.94925,364.30948,185.94925,213.73477,0,1,325.98923,374.70026,194.98923,224.12555,0,1,329.23923,378.43588,198.23923,227.86118,0,1,348.70767,400.81342,217.70767,250.23871,0,0,317.98923,365.50485,186.98923,214.93015,0,1
1242.0,1,1,0,487.27826,727.28094,455.27826,679.5198,0,0,441.41135,658.8229,409.41135,611.0617,0,0,480.5164,717.1886,448.5164,669.4274,0,0,338.51636,505.2483,306.51636,457.4871,0,0,291.84885,435.59528,259.84885,387.83408,0,0
718.0,4,3,1,974.70386,1120.3492,968.70386,1113.4528,0,0,1051.63,1208.7701,1045.63,1201.8735,0,0,934.57996,1074.2299,928.57996,1067.3333,0,0,1106.5801,1271.9312,1100.5801,1265.0345,0,0,1105.63,1270.8391,1099.63,1263.9425,0,0
1464.0,3,2,1,748.94385,624.1199,620.94385,517.4532,0,0,760.87,634.0583,632.87,527.39166,0,0,686.82,572.35,558.82,465.68332,0,0,815.82,679.85,687.82,573.1833,0,0,772.87,644.0583,644.87,537.39166,0,0
1381.0,2,2,0,471.27692,471.27692,370.27692,370.27692,0,0,504.68,504.68,403.68,403.68,0,0,446.93,446.93,345.93,345.93,0,0,532.93,532.93,431.93,431.93,0,0,616.93,616.93,515.93,515.93,0,0
1461.0,2,2,0,1212.8738,1212.8738,1031.8738,1031.8738,0,0,1202.8,1202.8,1021.8,1021.8,0,0,889.05005,889.05005,708.05005,708.05005,0,0,975.05005,975.05005,794.05005,794.05005,0,0,1059.05,1059.05,878.05005,878.05005,0,0
1625.0,1,1,0,79.2,118.20895,74.2,110.74626,1,1,144.2,215.22388,139.2,207.76118,1,1,184.2,274.92535,179.2,267.46268,0,0,227.2,339.10446,222.2,331.64178,0,0,269.2,401.79105,264.2,394.32837,0,0
421.0,2,2,0,572.55383,572.55383,572.55383,572.55383,0,0,562.48,562.48,562.48,562.48,0,0,483.47998,483.47998,483.47998,483.47998,0,0,569.48,569.48,569.48,569.48,0,0,653.48,653.48,653.48,653.48,0,0
933.0,1,1,0,492.31696,734.8014,485.31696,724.35364,0,0,487.28,727.28357,480.28,716.8358,0,0,372.03003,555.2687,365.03003,544.8209,0,0,415.03003,619.4478,408.03003,609.0,0,0,457.03006,682.1344,450.03006,671.68665,0,0
1471.0,2,2,0,1056.7869,1056.7869,1040.7869,1040.7869,0,0,1000.13995,1000.13995,984.13995,984.13995,0,0,1101.1775,1101.1775,1085.1775,1085.1775,0,0,817.1775,817.1775,801.1775,801.1775,0,0,615.64,615.64,599.64,599.64,0,0
1604.0,1,1,0,178.23077,266.01608,172.23077,257.06085,0,0,187.43077,279.7474,181.43077,270.79218,0,0,312.54327,466.48248,306.54327,457.52725,0,0,170.54327,254.54219,164.54327,245.58698,0,1,105.55576,157.54591,99.55576,148.59068,1,1
1517.0,2,2,0,734.6154,734.6154,704.6154,704.6154,0,0,732.9884,732.9884,702.9884,702.9884,0,0,594.73846,594.73846,564.73846,564.73846,0,0,680.7385,680.7385,650.7385,650.7385,0,0,764.7385,764.7385,734.7385,734.7385,0,0
3194.0,3,2,1,224.67615,168.92943,114.67615,86.222664,1,1,421.67618,317.04974,311.67618,234.34299,0,1,553.62616,416.26025,443.62616,333.5535,0,0,582.7223,438.13705,472.72232,355.4303,0,0,604.67615,454.6437,494.67618,371.93695,0,0
1608.0,3,2,1,1012.91864,844.0988,951.91864,793.2655,0,0,1023.55774,852.9647,962.55774,802.1314,0,0,869.00006,724.1667,808.00006,673.3334,0,0,998.0,831.6666,937.0,780.8333,0,0,955.05005,795.875,894.05005,745.0417,0,0
693.0,5,2,3,361.7069,226.06682,293.7069,183.56682,1,1,557.7069,348.5668,489.7069,306.0668,0,0,829.18634,518.24146,761.18634,475.74146,0,0,933.43,583.39374,865.43,540.89374,0,0,741.3363,463.33517,673.3363,420.83517,0,0
1545.0,4,2,2,2478.9048,1770.6464,2368.9048,1692.0748,0,0,2567.5078,1833.9342,2457.5078,1755.3628,0,0,2694.7578,1924.827,2584.7578,1846.2556,0,0,2866.7578,2047.6842,2756.7578,1969.1128,0,0,2689.7578,1921.2556,2579.7578,1842.6842,0,0
1559.0,3,2,1,673.62177,561.35144,576.62177,480.51813,0,0,675.64984,563.0415,578.64984,482.2082,0,0,592.34985,493.62485,495.34985,412.79153,0,0,721.34985,601.1249,624.34985,520.2915,0,0,678.39984,565.3332,581.39984,484.49985,0,0
1337.0,2,2,0,362.785,362.785,356.785,356.785,0,0,367.505,367.505,361.505,361.505,0,0,658.5675,658.5675,652.5675,652.5675,0,0,374.5675,374.5675,368.5675,368.5675,0,0,193.06749,193.06749,187.06749,187.06749,1,1
1228.0,3,1,2,464.9269,434.5111,319.9269,298.9971,0,0,573.92694,536.3803,428.92694,400.86627,0,0,744.92694,696.19336,599.92694,560.6794,0,0,754.6,705.2336,609.6,569.7196,0,0,654.92694,612.08124,509.92694,476.5672,0,0
1441.0,1,1,0,181.0,270.14926,168.0,250.74626,0,0,189.0,282.08954,176.0,262.68655,0,0,304.5875,454.6082,291.5875,435.2052,0,0,162.5875,242.6679,149.5875,223.26491,1,1,106.1875,158.4888,93.1875,139.08582,1,1
1282.0,2,2,0,359.7,359.7,350.7,350.7,0,0,418.06,418.06,409.06,409.06,0,0,540.45496,540.45496,531.45496,531.45496,0,0,441.45502,441.45502,432.45502,432.45502,0,0,448.81,448.81,439.81,439.81,0,0
1339.0,2,2,0,1136.5461,1136.5461,1016.5462,1016.5462,0,0,1057.7723,1057.7723,937.77234,937.77234,0,0,959.29486,959.29486,839.29486,839.29486,0,0,860.29486,860.29486,740.29486,740.29486,0,0,828.1474,828.1474,708.1474,708.1474,0,0
281.0,1,1,0,311.0,464.1791,311.0,464.1791,0,0,308.44,460.35822,308.44,460.35822,0,0,382.0,570.14923,382.0,570.14923,0,0,240.0,358.20895,240.0,358.20895,0,0,217.3775,324.44403,217.3775,324.44403,0,0
3610.0,3,3,0,1160.1815,1160.1815,1106.1815,1106.1815,0,0,1223.9077,1223.9077,1169.9077,1169.9077,0,0,1032.15,1032.15,978.15,978.15,0,0,1091.15,1091.15,1037.15,1037.15,0,0,1027.15,1027.15,973.15,973.15,0,0
3127.0,2,2,0,420.07693,420.07693,335.07693,335.07693,0,0,455.71997,455.71997,370.71997,370.71997,0,0,415.97003,415.97003,330.97003,330.97003,0,0,501.97003,501.97003,416.97003,416.97003,0,0,585.97003,585.97003,500.97003,500.97003,0,0
2649.0,3,3,0,479.0,714.92535,383.0,571.6418,0,0,628.76,938.44775,532.76,795.1642,0,0,853.0,1273.1343,757.0,1129.8507,0,0,797.0,1189.5522,701.0,1046.2687,0,0,805.135,1201.694,709.135,1058.4104,0,0
1651.0,2,1,1,86.253845,99.14235,-5.746155,-6.6047754,1,1,163.25385,187.6481,71.253845,81.90097,1,1,240.20384,276.09637,148.20384,170.34924,0,1,296.3,340.5747,204.3,234.82759,0,1,276.25385,317.53314,184.25385,211.78603,0,1
2237.0,2,2,0,541.9769,541.9769,535.9769,535.9769,0,0,527.48,527.48,521.48,521.48,0,0,752.03,752.03,746.03,746.03,0,0,468.03,468.03,462.03,462.03,0,0,326.60498,326.60498,320.60498,320.60498,0,0
1539.0,3,2,1,720.38385,600.3198,699.38385,582.8198,0,0,732.31,610.2583,711.31,592.7583,0,0,668.76,557.3,647.76,539.8,0,0,797.76,664.8,776.76,647.3,0,0,754.81006,629.00836,733.81006,611.50836,0,0
578.0,4,3,1,562.2446,562.2446,562.2446,562.2446,0,0,719.3269,719.3269,719.3269,719.3269,0,0,743.29694,743.29694,743.29694,743.29694,0,0,767.0,767.0,767.0,767.0,0,0,815.647,815.647,815.647,815.647,0,0
1495.0,1,1,0,415.52747,620.19025,384.52747,573.9216,0,0,410.49057,612.6725,379.49057,566.4038,0,0,316.24057,472.00082,285.24057,425.73218,0,0,359.24057,536.17993,328.24057,489.9113,0,0,401.24057,598.8665,370.24057,552.59784,0,0
